,$,Identifier,Semi,LeftParen,Comma,Const,Static,Char,Int,Bool,Assign,LeftBrace,Constant,RightBrace,RightParen,Return,For,Question,Colon,OrOr,AndAnd,Or,Caret,And,Equal,NotEqual,Less,Greater,LessEqual,GreaterEqual,LeftShift,RightShift,Plus,Minus,Star,Div,Mod,DigitSequence,True,False,StringLiteral,PlusPlus,MinusMinus,If,Else
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blockItem,,blockItem ::= statement,blockItem ::= statement,,blockItem ::= statement,blockItem ::= FuncDeclaration,blockItem ::= FuncDeclaration,blockItem ::= FuncDeclaration,blockItem ::= FuncDeclaration,blockItem ::= FuncDeclaration,,blockItem ::= statement,blockItem ::= statement,,,blockItem ::= statement,blockItem ::= statement,blockItem ::= statement,,blockItem ::= statement,blockItem ::= statement,blockItem ::= statement,blockItem ::= statement,blockItem ::= statement,blockItem ::= statement,blockItem ::= statement,blockItem ::= statement,blockItem ::= statement,blockItem ::= statement,blockItem ::= statement,blockItem ::= statement,blockItem ::= statement,blockItem ::= statement,blockItem ::= statement,blockItem ::= statement,blockItem ::= statement,blockItem ::= statement,blockItem ::= statement,blockItem ::= statement,blockItem ::= statement,blockItem ::= statement,blockItem ::= statement,blockItem ::= statement,blockItem ::= statement,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
statementPrime,,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,,statementPrime ::= statement statementPrime,statementPrime ::= FuncDeclaration,statementPrime ::= FuncDeclaration,statementPrime ::= FuncDeclaration,statementPrime ::= FuncDeclaration,statementPrime ::= FuncDeclaration,,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,statementPrime ::= ε,,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,statementPrime ::= statement statementPrime,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
statement,,statement ::= expressionStatement,statement ::= expressionStatement,,statement ::= expressionStatement,,,,,,,statement ::= compoundStatement,statement ::= expressionStatement,,,statement ::= Return expressionStatement,statement ::= iterationStatement,statement ::= expressionStatement,,statement ::= expressionStatement,statement ::= expressionStatement,statement ::= expressionStatement,statement ::= expressionStatement,statement ::= expressionStatement,statement ::= expressionStatement,statement ::= expressionStatement,statement ::= expressionStatement,statement ::= expressionStatement,statement ::= expressionStatement,statement ::= expressionStatement,statement ::= expressionStatement,statement ::= expressionStatement,statement ::= expressionStatement,statement ::= expressionStatement,statement ::= expressionStatement,statement ::= expressionStatement,statement ::= expressionStatement,statement ::= expressionStatement,statement ::= expressionStatement,statement ::= expressionStatement,statement ::= expressionStatement,statement ::= expressionStatement,statement ::= expressionStatement,statement ::= selectionStatement,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iterationStatement,,,,,,,,,,,,,,,,,iterationStatement ::= For LeftParen forCondition RightParen LeftBrace statementPrime RightBrace,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forCondition,,,,,,forCondition ::= forDeclaration assignmentExpression Semi assignmentExpression,forCondition ::= forDeclaration assignmentExpression Semi assignmentExpression,forCondition ::= forDeclaration assignmentExpression Semi assignmentExpression,forCondition ::= forDeclaration assignmentExpression Semi assignmentExpression,forCondition ::= forDeclaration assignmentExpression Semi assignmentExpression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forDeclaration,,,,,,forDeclaration ::= FuncDeclaration,forDeclaration ::= FuncDeclaration,forDeclaration ::= FuncDeclaration,forDeclaration ::= FuncDeclaration,forDeclaration ::= FuncDeclaration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
